,Product ID,Product Name,Category,Price
0,1,Product 1,Electronics,316.78
1,2,Product 2,Home Goods,87.66
2,3,Product 3,Books,413.42
3,4,Product 4,Sports,225.25
4,5,Product 5,Electronics,341.35
5,6,Product 6,Clothing,484.42
6,7,Product 7,Books,403.63
7,8,Product 8,Sports,137.45
8,9,Product 9,Electronics,131.47
9,10,Product 10,Home Goods,439.16
10,11,Product 11,Home Goods,71.83
11,12,Product 12,Electronics,62.93
12,13,Product 13,Books,427.4
13,14,Product 14,Clothing,366.29
14,15,Product 15,Clothing,444.29
15,16,Product 16,Electronics,376.22
16,17,Product 17,Electronics,298.9
17,18,Product 18,Electronics,192.65
18,19,Product 19,Books,149.92
19,20,Product 20,Books,30.91
20,21,Product 21,Electronics,454.73
21,22,Product 22,Books,179.63
22,23,Product 23,Clothing,371.0
23,24,Product 24,Sports,24.64
24,25,Product 25,Clothing,299.55
25,26,Product 26,Electronics,99.47
26,27,Product 27,Clothing,161.7
27,28,Product 28,Sports,265.48
28,29,Product 29,Electronics,396.44
29,30,Product 30,Electronics,242.89
30,31,Product 31,Books,65.35
31,32,Product 32,Clothing,195.78
32,33,Product 33,Home Goods,203.25
33,34,Product 34,Electronics,382.05
34,35,Product 35,Books,177.05
35,36,Product 36,Electronics,454.24
36,37,Product 37,Sports,33.82
37,38,Product 38,Books,203.21
38,39,Product 39,Sports,56.32
39,40,Product 40,Sports,469.67
40,41,Product 41,Clothing,214.85
41,42,Product 42,Clothing,328.34
42,43,Product 43,Books,262.31
43,44,Product 44,Sports,28.13
44,45,Product 45,Electronics,149.24
45,46,Product 46,Sports,361.98
46,47,Product 47,Sports,378.4
47,48,Product 48,Home Goods,387.69
48,49,Product 49,Clothing,445.56
49,50,Product 50,Sports,224.26
50,51,Product 51,Home Goods,97.55
51,52,Product 52,Clothing,363.29
52,53,Product 53,Books,281.94
53,54,Product 54,Books,246.2
54,55,Product 55,Home Goods,191.66
55,56,Product 56,Sports,489.66
56,57,Product 57,Books,367.12
57,58,Product 58,Electronics,398.82
58,59,Product 59,Sports,400.16
59,60,Product 60,Books,487.05
60,61,Product 61,Electronics,261.86
61,62,Product 62,Home Goods,278.63
62,63,Product 63,Books,44.45
63,64,Product 64,Clothing,221.24
64,65,Product 65,Books,212.56
65,66,Product 66,Sports,42.91
66,67,Product 67,Electronics,212.75
67,68,Product 68,Electronics,497.33
68,69,Product 69,Books,234.48
69,70,Product 70,Sports,115.78
70,71,Product 71,Books,85.02
71,72,Product 72,Home Goods,314.11
72,73,Product 73,Clothing,64.81
73,74,Product 74,Books,51.01
74,75,Product 75,Electronics,199.31
75,76,Product 76,Clothing,141.83
76,77,Product 77,Electronics,493.34
77,78,Product 78,Home Goods,446.72
78,79,Product 79,Electronics,250.84
79,80,Product 80,Clothing,87.44
80,81,Product 81,Books,160.07
81,82,Product 82,Home Goods,490.66
82,83,Product 83,Books,298.48
83,84,Product 84,Sports,394.91
84,85,Product 85,Sports,191.0
85,86,Product 86,Electronics,325.82
86,87,Product 87,Electronics,34.32
87,88,Product 88,Electronics,206.65
88,89,Product 89,Sports,276.92
89,90,Product 90,Books,187.43
90,91,Product 91,Electronics,470.08
91,92,Product 92,Books,361.99
92,93,Product 93,Home Goods,403.27
93,94,Product 94,Sports,352.53
94,95,Product 95,Clothing,446.52
95,96,Product 96,Home Goods,345.69
96,97,Product 97,Home Goods,195.35
97,98,Product 98,Books,286.93
98,99,Product 99,Books,496.64
99,100,Product 100,Clothing,19.14
100,101,Product 101,Books,41.02
101,102,Product 102,Clothing,139.6
102,103,Product 103,Home Goods,483.88
103,104,Product 104,Electronics,425.72
104,105,Product 105,Books,443.28
105,106,Product 106,Clothing,483.95
106,107,Product 107,Clothing,8.62
107,108,Product 108,Sports,180.58
108,109,Product 109,Sports,468.33
109,110,Product 110,Home Goods,29.76
110,111,Product 111,Home Goods,385.35
111,112,Product 112,Sports,175.08
112,113,Product 113,Books,58.21
113,114,Product 114,Clothing,24.8
114,115,Product 115,Clothing,469.46
115,116,Product 116,Home Goods,311.47
116,117,Product 117,Clothing,170.51
117,118,Product 118,Electronics,158.11
118,119,Product 119,Books,390.93
119,120,Product 120,Sports,78.77
120,121,Product 121,Home Goods,100.56
121,122,Product 122,Sports,112.22
122,123,Product 123,Books,471.55
123,124,Product 124,Books,328.23
124,125,Product 125,Sports,20.14
125,126,Product 126,Clothing,297.55
126,127,Product 127,Home Goods,264.78
127,128,Product 128,Clothing,473.04
128,129,Product 129,Clothing,171.44
129,130,Product 130,Clothing,449.55
130,131,Product 131,Clothing,460.63
131,132,Product 132,Clothing,284.7
132,133,Product 133,Electronics,212.4
133,134,Product 134,Home Goods,213.28
134,135,Product 135,Sports,88.03
135,136,Product 136,Books,51.67
136,137,Product 137,Home Goods,387.48
137,138,Product 138,Books,75.08
138,139,Product 139,Clothing,381.8
139,140,Product 140,Books,258.21
140,141,Product 141,Electronics,414.64
141,142,Product 142,Sports,258.13
142,143,Product 143,Books,205.53
143,144,Product 144,Clothing,258.41
144,145,Product 145,Clothing,252.39
145,146,Product 146,Sports,294.29
146,147,Product 147,Books,41.19
147,148,Product 148,Electronics,365.53
148,149,Product 149,Sports,364.56
149,150,Product 150,Home Goods,96.34
150,151,Product 151,Home Goods,470.76
151,152,Product 152,Books,410.83
152,153,Product 153,Sports,225.61
153,154,Product 154,Home Goods,153.6
154,155,Product 155,Home Goods,332.92
155,156,Product 156,Clothing,162.31
156,157,Product 157,Books,55.67
157,158,Product 158,Home Goods,327.01
158,159,Product 159,Books,179.3
159,160,Product 160,Home Goods,423.0
160,161,Product 161,Home Goods,188.03
161,162,Product 162,Electronics,21.18
162,163,Product 163,Clothing,299.04
163,164,Product 164,Electronics,431.5
164,165,Product 165,Electronics,195.09
165,166,Product 166,Books,443.57
166,167,Product 167,Electronics,79.2
167,168,Product 168,Sports,372.47
168,169,Product 169,Electronics,134.76
169,170,Product 170,Home Goods,421.78
170,171,Product 171,Clothing,424.22
171,172,Product 172,Sports,320.88
172,173,Product 173,Clothing,6.15
173,174,Product 174,Home Goods,282.23
174,175,Product 175,Electronics,123.23
175,176,Product 176,Clothing,222.17
176,177,Product 177,Sports,233.47
177,178,Product 178,Books,366.53
178,179,Product 179,Sports,270.07
179,180,Product 180,Books,144.19
180,181,Product 181,Electronics,346.01
181,182,Product 182,Sports,369.5
182,183,Product 183,Clothing,414.38
183,184,Product 184,Electronics,282.11
184,185,Product 185,Books,391.85
185,186,Product 186,Electronics,268.66
186,187,Product 187,Home Goods,155.3
187,188,Product 188,Sports,356.17
188,189,Product 189,Clothing,350.01
189,190,Product 190,Home Goods,272.61
190,191,Product 191,Home Goods,215.86
191,192,Product 192,Clothing,349.29
192,193,Product 193,Books,235.66
193,194,Product 194,Clothing,473.7
194,195,Product 195,Electronics,66.11
195,196,Product 196,Sports,115.09
196,197,Product 197,Books,265.85
197,198,Product 198,Books,208.14
198,199,Product 199,Home Goods,452.08
199,200,Product 200,Books,313.35
200,201,Product 201,Books,16.03
201,202,Product 202,Books,302.76
202,203,Product 203,Clothing,117.66
203,204,Product 204,Home Goods,350.32
204,205,Product 205,Home Goods,498.56
205,206,Product 206,Home Goods,117.56
206,207,Product 207,Clothing,10.91
207,208,Product 208,Home Goods,106.29
208,209,Product 209,Sports,77.15
209,210,Product 210,Home Goods,288.02
210,211,Product 211,Clothing,321.79
211,212,Product 212,Home Goods,342.51
212,213,Product 213,Home Goods,273.12
